"Date,""Air Quaility UCI Dataset: Date,Time,T,RH,AH,PT08.S1(CO),CO(GT)"""
20040310,18,13.6,48.9,0.7578,1360,2.6
20040310,19,13.3,47.7,0.7255,1292,2
20040310,20,11.9,54.0,0.7502,1402,2.2
20040310,21,11.0,60.0,0.7867,1376,2.2
20040310,22,11.2,59.6,0.7888,1272,1.6
20040310,23,11.2,59.2,0.7848,1197,1.2
20040311,0,11.3,56.8,0.7603,1185,1.2
20040311,1,10.7,60.0,0.7702,1136,1
20040311,2,10.7,59.7,0.7648,1094,0.9
20040311,3,10.3,60.2,0.7517,1010,0.6
20040311,5,11.0,56.2,0.7366,1066,0.7
20040311,6,10.5,58.1,0.7353,1052,0.7
20040311,7,10.2,59.6,0.7417,1144,1.1
20040311,8,10.8,57.4,0.7408,1333,2
20040311,9,10.5,60.6,0.7691,1351,2.2
20040311,10,10.8,58.4,0.7552,1233,1.7
20040311,11,10.5,57.9,0.7352,1179,1.5
20040311,12,9.5,66.8,0.7951,1236,1.6
20040311,13,8.3,76.4,0.8393,1286,1.9
20040311,14,8.0,81.1,0.8736,1371,2.9
20040311,15,8.3,79.8,0.8778,1310,2.2
20040311,16,9.7,71.2,0.8569,1292,2.2
20040311,17,9.8,67.6,0.8185,1383,2.9
20040311,18,10.3,64.2,0.8065,1581,4.8
20040311,19,9.7,69.3,0.8319,1776,6.9
20040311,20,9.6,67.8,0.8133,1640,6.1
20040311,21,9.1,64.0,0.7419,1313,3.9
20040311,22,8.2,63.4,0.6905,965,1.5
20040311,23,8.2,60.8,0.6657,913,1
20040312,0,8.3,58.5,0.6438,1080,1.7
20040312,1,7.7,59.7,0.6308,1044,1.9
20040312,2,7.1,61.8,0.6276,988,1.4
20040312,3,7.0,62.3,0.6261,889,0.8
20040312,5,6.3,65.0,0.6233,847,0.6
20040312,6,6.8,62.9,0.6234,927,0.8
20040312,7,6.4,65.1,0.6316,1091,1.4
20040312,8,7.3,63.1,0.6499,1587,4.4
20040312,10,13.2,41.7,0.6320,1350,3.1
20040312,11,14.3,38.4,0.6243,1263,2.7
20040312,12,15.0,36.5,0.6195,1206,2.1
20040312,13,16.1,34.5,0.6262,1252,2.5
20040312,14,16.3,35.7,0.6560,1287,2.7
20040312,15,15.8,37.0,0.6610,1353,2.9
20040312,16,15.9,37.2,0.6657,1309,2.8
20040312,17,16.9,34.3,0.6549,1274,2.4
20040312,18,15.1,39.6,0.6766,1510,3.9
20040312,19,14.4,43.4,0.7084,1525,3.7
20040312,20,12.9,50.5,0.7478,1843,6.6
