"Date,""Air Quaility UCI Dataset: Date,Time,T,RH,AH,PT08.S1(CO),CO(GT)"""
2004-03-10,18:00:00,13.6,48.9,0.7578,1360,2.6
2004-03-10,19:00:00,13.3,47.7,0.7255,1292,2
2004-03-10,20:00:00,11.9,54.0,0.7502,1402,2.2
2004-03-10,21:00:00,11.0,60.0,0.7867,1376,2.2
2004-03-10,22:00:00,11.2,59.6,0.7888,1272,1.6
2004-03-10,23:00:00,11.2,59.2,0.7848,1197,1.2
2004-03-11,0:00:00,11.3,56.8,0.7603,1185,1.2
2004-03-11,1:00:00,10.7,60.0,0.7702,1136,1
2004-03-11,2:00:00,10.7,59.7,0.7648,1094,0.9
2004-03-11,3:00:00,10.3,60.2,0.7517,1010,0.6
2004-03-11,5:00:00,11.0,56.2,0.7366,1066,0.7
2004-03-11,6:00:00,10.5,58.1,0.7353,1052,0.7
2004-03-11,7:00:00,10.2,59.6,0.7417,1144,1.1
2004-03-11,8:00:00,10.8,57.4,0.7408,1333,2
2004-03-11,9:00:00,10.5,60.6,0.7691,1351,2.2
2004-03-11,10:00:00,10.8,58.4,0.7552,1233,1.7
2004-03-11,11:00:00,10.5,57.9,0.7352,1179,1.5
2004-03-11,12:00:00,9.5,66.8,0.7951,1236,1.6
2004-03-11,13:00:00,8.3,76.4,0.8393,1286,1.9
2004-03-11,14:00:00,8.0,81.1,0.8736,1371,2.9
2004-03-11,15:00:00,8.3,79.8,0.8778,1310,2.2
2004-03-11,16:00:00,9.7,71.2,0.8569,1292,2.2
2004-03-11,17:00:00,9.8,67.6,0.8185,1383,2.9
2004-03-11,18:00:00,10.3,64.2,0.8065,1581,4.8
2004-03-11,19:00:00,9.7,69.3,0.8319,1776,6.9
2004-03-11,20:00:00,9.6,67.8,0.8133,1640,6.1
2004-03-11,21:00:00,9.1,64.0,0.7419,1313,3.9
2004-03-11,22:00:00,8.2,63.4,0.6905,965,1.5
2004-03-11,23:00:00,8.2,60.8,0.6657,913,1
2004-03-12,0:00:00,8.3,58.5,0.6438,1080,1.7
2004-03-12,1:00:00,7.7,59.7,0.6308,1044,1.9
2004-03-12,2:00:00,7.1,61.8,0.6276,988,1.4
2004-03-12,3:00:00,7.0,62.3,0.6261,889,0.8
2004-03-12,5:00:00,6.3,65.0,0.6233,847,0.6
2004-03-12,6:00:00,6.8,62.9,0.6234,927,0.8
2004-03-12,7:00:00,6.4,65.1,0.6316,1091,1.4
2004-03-12,8:00:00,7.3,63.1,0.6499,1587,4.4
2004-03-12,10:00:00,13.2,41.7,0.6320,1350,3.1
2004-03-12,11:00:00,14.3,38.4,0.6243,1263,2.7
2004-03-12,12:00:00,15.0,36.5,0.6195,1206,2.1
2004-03-12,13:00:00,16.1,34.5,0.6262,1252,2.5
2004-03-12,14:00:00,16.3,35.7,0.6560,1287,2.7
2004-03-12,15:00:00,15.8,37.0,0.6610,1353,2.9
2004-03-12,16:00:00,15.9,37.2,0.6657,1309,2.8
2004-03-12,17:00:00,16.9,34.3,0.6549,1274,2.4
2004-03-12,18:00:00,15.1,39.6,0.6766,1510,3.9
2004-03-12,19:00:00,14.4,43.4,0.7084,1525,3.7
2004-03-12,20:00:00,12.9,50.5,0.7478,1843,6.6
2004-03-12,21:00:00,12.1,53.3,0.7536,1598,4.4
2004-03-12,22:00:00,11.0,59.1,0.7740,1484,3.5
2004-03-12,23:00:00,9.7,64.6,0.7771,1677,5.4
2004-03-13,0:00:00,9.5,64.1,0.7597,1280,2.7
2004-03-13,1:00:00,9.1,63.9,0.7423,1196,1.9
2004-03-13,2:00:00,8.8,63.9,0.7256,1184,1.6
2004-03-13,3:00:00,7.8,67.5,0.7173,1172,1.7
2004-03-13,5:00:00,8.3,63.6,0.6982,978,1
2004-03-13,6:00:00,7.2,67.5,0.6887,1100,1.2
2004-03-13,7:00:00,6.3,71.9,0.6932,1112,1.5
2004-03-13,8:00:00,6.5,71.6,0.6945,1336,2.7
2004-03-13,9:00:00,9.6,59.7,0.7124,1408,3.7
2004-03-13,10:00:00,12.4,51.2,0.7335,1447,3.2
2004-03-13,11:00:00,15.6,42.2,0.7451,1542,4.1
2004-03-13,12:00:00,18.4,33.8,0.7090,1451,3.6
2004-03-13,13:00:00,19.4,31.3,0.6950,1328,2.8
2004-03-13,14:00:00,18.0,34.8,0.7127,1207,2
2004-03-13,15:00:00,18.4,33.6,0.7042,1240,2
2004-03-13,16:00:00,17.6,35.1,0.7012,1306,2.5
2004-03-13,17:00:00,16.7,37.8,0.7117,1326,2.3
2004-03-13,18:00:00,16.1,41.0,0.7451,1473,3.2
2004-03-13,19:00:00,15.8,42.4,0.7569,1609,4.2
2004-03-13,20:00:00,15.7,44.1,0.7786,1611,4.2
2004-03-13,21:00:00,15.3,46.8,0.8091,1621,4.2
2004-03-13,22:00:00,14.6,48.6,0.8060,1444,3.1
2004-03-13,23:00:00,14.7,49.3,0.8193,1418,2.6
2004-03-14,0:00:00,13.9,53.6,0.8498,1534,2.9
2004-03-14,1:00:00,14.6,51.5,0.8536,1484,2.8
2004-03-14,2:00:00,12.5,58.9,0.8537,1367,2.5
2004-03-14,3:00:00,11.6,63.4,0.8674,1344,2.4
2004-03-14,5:00:00,11.5,63.1,0.8533,1062,1.2
2004-03-14,6:00:00,11.6,62.2,0.8473,1076,1
2004-03-14,7:00:00,10.4,67.6,0.8530,1028,0.9
2004-03-14,8:00:00,11.6,62.7,0.8530,1155,1.4
2004-03-14,9:00:00,12.4,60.0,0.8627,1235,1.6
2004-03-14,10:00:00,14.5,53.1,0.8728,1332,2.2
2004-03-14,11:00:00,16.9,46.1,0.8789,1445,2.8
2004-03-14,12:00:00,19.3,38.3,0.8474,1416,2.8
2004-03-14,13:00:00,21.2,31.4,0.7812,1281,2
2004-03-14,14:00:00,21.4,30.2,0.7616,1207,1.8
2004-03-14,15:00:00,21.9,29.0,0.7525,1258,1.9
2004-03-14,16:00:00,22.2,28.4,0.7516,1458,3
2004-03-14,17:00:00,21.3,30.8,0.7696,1438,2.9
2004-03-14,18:00:00,19.7,36.7,0.8307,1478,2.5
2004-03-14,19:00:00,18.4,41.7,0.8732,1808,4.6
2004-03-14,20:00:00,17.6,46.1,0.9210,1898,5.9
2004-03-14,21:00:00,16.7,49.6,0.9320,1560,3.4
2004-03-14,22:00:00,16.3,51.0,0.9341,1324,2.1
2004-03-14,23:00:00,14.7,55.9,0.9314,1349,2.2
2004-03-15,0:00:00,14.8,54.7,0.9164,1239,1.8
2004-03-15,1:00:00,14.0,57.0,0.9094,1239,1.8
2004-03-15,2:00:00,13.4,61.3,0.9361,1224,1.8
2004-03-15,3:00:00,12.6,63.5,0.9230,1078,1.1
2004-03-15,5:00:00,11.9,67.4,0.9375,1075,1
2004-03-15,6:00:00,11.4,70.5,0.9475,1157,1.4
2004-03-15,7:00:00,11.3,70.2,0.9401,1314,2.2
2004-03-15,8:00:00,12.4,63.9,0.9170,1797,5.5
2004-03-15,9:00:00,14.8,54.3,0.9076,1961,8.1
2004-03-15,10:00:00,17.4,45.6,0.8993,1771,5.8
2004-03-15,11:00:00,19.8,38.5,0.8801,1564,4.2
2004-03-15,12:00:00,22.0,34.1,0.8904,1430,3.1
2004-03-15,13:00:00,23.3,32.2,0.9096,1417,2.9
2004-03-15,14:00:00,23.9,30.0,0.8757,1400,2.9
2004-03-15,15:00:00,24.4,28.9,0.8736,1317,2.5
